"id","code","display_order","enabled","name","region","currency_id"
"1","US","1","1","미국","AMERICA","1"
"2","JP","2","1","일본","ASIA","2"
"3","CN","3","1","중국","ASIA","4"
"4","FR","4","1","프랑스","EUROPE","3"
"5","DE","5","1","독일","EUROPE","3"
"6","IT","6","1","이탈리아","EUROPE","3"
"7","ES","7","1","스페인","EUROPE","3"
"8","NL","8","1","네덜란드","EUROPE","3"
"9","PT","9","1","포르투갈","EUROPE","3"
"10","AT","10","1","오스트리아","EUROPE","3"
"11","GR","11","1","그리스","EUROPE","3"
"12","GB","12","1","영국","EUROPE","5"
"13","CH","13","1","스위스","EUROPE","8"
"14","SE","14","1","스웨덴","EUROPE","18"
"15","NO","15","1","노르웨이","EUROPE","19"
"16","DK","16","1","덴마크","EUROPE","20"
"17","HK","17","1","홍콩","ASIA","9"
"18","SG","18","1","싱가포르","ASIA","10"
"19","TH","19","1","태국","ASIA","11"
"20","MY","20","1","말레이시아","ASIA","12"
"21","ID","21","1","인도네시아","ASIA","13"
"22","PH","22","1","필리핀","ASIA","14"
"23","VN","23","1","베트남","ASIA","15"
"24","TW","24","1","대만","ASIA","16"
"25","AU","25","1","호주","OCEANIA","6"
"26","NZ","26","1","뉴질랜드","OCEANIA","17"
"27","CA","27","1","캐나다","AMERICA","7"
"28","AE","28","1","아랍에미리트","MIDDLE_EAST","21"
"29","KR","0","0","대한민국","ASIA","25"
