"display_order","enabled","unit","id","code","symbol","bok_item_code","country_name","currency_name"
"1","1","1","1","USD","$","0000001","미국","달러"
"2","1","100","2","JPY","¥","0000002","일본","엔"
"3","1","1","3","EUR","€","0000003","유로존","유로"
"4","1","1","4","CNY","¥","0000053","중국","위안"
"5","1","1","5","GBP","£","0000012","영국","파운드"
"6","1","1","6","AUD","$","0000017","호주","달러"
"7","1","1","7","CAD","$","0000013","캐나다","달러"
"8","1","1","8","CHF","CHF","0000014","스위스","프랑"
"9","1","1","9","HKD","$","0000015","홍콩","달러"
"10","1","1","10","SGD","$","0000024","싱가포르","달러"
"11","1","1","11","THB","฿","0000028","태국","바트"
"12","1","1","12","MYR","RM","0000025","말레이시아","링깃"
"13","1","100","13","IDR","Rp","0000029","인도네시아","루피아"
"14","1","1","14","PHP","₱","0000034","필리핀","페소"
"15","1","100","15","VND","₫","0000035","베트남","동"
"16","1","1","16","TWD","NT$","0000031","대만","달러"
"17","1","1","17","NZD","$","0000026","뉴질랜드","달러"
"18","1","1","18","SEK","kr","0000016","스웨덴","크로나"
"19","1","1","19","NOK","kr","0000019","노르웨이","크로네"
"20","1","1","20","DKK","kr","0000018","덴마크","크로네"
"21","1","1","21","AED","د.إ","0000023","아랍에미리트","디르함"
"22","1","1","22","SAR","﷼","0000020","사우디아라비아","리얄"
"23","1","1","23","KWD","KD","0000021","쿠웨이트","디나르"
"24","1","1","24","BHD","BD","0000022","바레인","디나르"
"0","0","1","25","KRW","₩",\N,"대한민국","원"
